ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,SEARCHVAL,Station,Station Name
15 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LRT STATION SINGAPORE 689813,15,CHOA CHU KANG LRT STATION,1.384755411,103.7445377,689813,CHOA CHU KANG AVENUE 4,CHOA CHU KANG LRT STATION,BP1,Choa Chu Kang
50 CHOA CHU KANG WAY SOUTH VIEW LRT STATION SINGAPORE 688265,50,SOUTH VIEW LRT STATION,1.380298287,103.7452918,688265,CHOA CHU KANG WAY,SOUTH VIEW LRT STATION,BP2,South View
30 CHOA CHU KANG WAY KEAT HONG LRT STATION SINGAPORE 688266,30,KEAT HONG LRT STATION,1.378602766,103.7490555,688266,CHOA CHU KANG WAY,KEAT HONG LRT STATION,BP3,Keat Hong
10 CHOA CHU KANG WAY TECK WHYE LRT STATION SINGAPORE 688267,10,TECK WHYE LRT STATION,1.376684679,103.7537122,688267,CHOA CHU KANG WAY,TECK WHYE LRT STATION,BP4,Teck Whye
40 CHOA CHU KANG ROAD PHOENIX LRT STATION SINGAPORE 689483,40,PHOENIX LRT STATION,1.378615451,103.7579956,689483,CHOA CHU KANG ROAD,PHOENIX LRT STATION,BP5,Phoenix
11 PETIR ROAD BUKIT PANJANG LRT STATION SINGAPORE 678268,11,BUKIT PANJANG LRT STATION,1.377926129,103.763103,678268,PETIR ROAD,BUKIT PANJANG LRT STATION,BP6,Bukit Panjang
31 PETIR ROAD PETIR LRT STATION SINGAPORE 678269,31,PETIR LRT STATION,1.377772043,103.7666458,678269,PETIR ROAD,PETIR LRT STATION,BP7,Petir
9 PENDING ROAD PENDING LRT STATION SINGAPORE 678296,9,PENDING LRT STATION,1.376135743,103.7712612,678296,PENDING ROAD,PENDING LRT STATION,BP8,Pending
20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION SINGAPORE 679939,20,BANGKIT LRT STATION,1.38002223,103.7726474,679939,BUKIT PANJANG RING ROAD,BANGKIT LRT STATION,BP9,Bangkit
40 FAJAR ROAD FAJAR LRT STATION SINGAPORE 679004,40,FAJAR LRT STATION,1.384520797,103.7708086,679004,FAJAR ROAD,FAJAR LRT STATION,BP10,Fajar
50 BUKIT PANJANG RING ROAD SEGAR LRT STATION SINGAPORE 679940,50,SEGAR LRT STATION,1.387785087,103.7695997,679940,BUKIT PANJANG RING ROAD,SEGAR LRT STATION,BP11,Segar
70 BUKIT PANJANG RING ROAD JELAPANG LRT STATION SINGAPORE 679941,70,JELAPANG LRT STATION,1.386736257,103.7645331,679941,BUKIT PANJANG RING ROAD,JELAPANG LRT STATION,BP12,Jelapang
10 COMPASSVALE STREET COMPASSVALE LRT STATION SINGAPORE 545055,10,COMPASSVALE LRT STATION,1.394493046,103.9004925,545055,COMPASSVALE STREET,COMPASSVALE LRT STATION,SE1,Compassvale
